id,name,desc,vibes
1,Boho Breeze Maxi Dress,Flowy maxi dress in earthy neutrals with tassels and floral prints — perfect for festivals and sundowners.,"['boho', 'free-spirited', 'festival', 'cozy']"
2,City Sprint Windbreaker,Lightweight windbreaker with reflective trims and a sleek silhouette for night runs and streetwear layering.,"['athleisure', 'streetwear', 'urban', 'energetic']"
3,Monochrome Power Blazer,"Sharp, structured blazer in deep black with minimalist lapels — boardroom-ready yet cocktail-chic.","['minimal', 'formal', 'monochrome', 'chic']"
4,Weekend Knit Set,Soft ribbed knit top and joggers in warm oatmeal; lounge-friendly comfort that still looks put together.,"['cozy', 'minimal', 'loungewear', 'warm']"
5,Denim Revival Jacket,"Boxy mid-wash denim jacket with distressed seams and utility pockets for a lived-in, downtown feel.","['streetwear', 'casual', 'urban', 'grunge-lite']"
6,Trailblazer Cargo Pants,"Tapered cargo pants with ripstop fabric and cinch hems — sturdy enough for trails, slick enough for cafes.","['outdoorsy', 'utility', 'urban', 'athleisure']"
7,Silk Slip Moonlight,Bias-cut silk slip in charcoal with a subtle sheen; pared-back elegance for evening layers.,"['chic', 'minimal', 'evening', 'elegant']"
8,Retro Court Sneakers,Low-top leather sneakers with clean lines and vintage soles — versatile from brunch to late-night strolls.,"['casual', 'streetwear', 'retro', 'urban']"
9,Puffer Cloud Parka,Oversized matte puffer with storm hood and high-loft insulation — warm without the bulk.,"['cozy', 'functional', 'winter', 'streetwear']"
10,Art Gallery Trench,Longline trench with crisp shoulders and belt; sculptural and modern for museum days and dinners.,"['minimal', 'urban', 'elevated', 'chic']"
